Date,Raw tweet
2023-01-28 09:40:42+00:00,"@imRoyPolo @Think1nine @Diseye_ Yes sir!  
Does he have governors &amp; legislators?
Is his party in power? 
You people claim he doesn't have financial &amp; other structures compared to bat &amp; atiku

Abi what exactly is your point ?"
2023-01-28 09:40:42+00:00,"Dinomelaye should leave politics and do comedy he's too good.. A great entertainer 

@_dinomelaye @OfficialPDPNig @atiku 
#AtikuOkowa2023 https://t.co/IPmhDjytiv"
2023-01-28 09:40:21+00:00,@Topboychriss Atiku will be forced to relocate to yemem this time around
2023-01-28 09:40:20+00:00,@_Khadejah_atiku Fine and goog how today
2023-01-28 09:40:04+00:00,"@U_Rochas @atiku Old man smoking Igbo no good for your mental health oh. 
Young boys talk you no gree, see as you d malfunction now https://t.co/gNgpLa3XQI"
2023-01-28 09:39:43+00:00,"@kaybalalive @adlard001 Post proof this not proof! If your reason for not supporting Sowore is based on this lie, but your are comfortable supporting someone who worked with Atiku and was his vp &amp; corruption defender in 2019, you don't have a conscience!"
2023-01-28 09:39:42+00:00,"@kenstine You archived all of this but you want to impose Atiku for us as president,God will punish you."
2023-01-28 09:39:20+00:00,"@DrOkaforEmmanu1 Just one, your doctorate need to be investigated  and no obidient attend deji space.  Apc evil will be better than atiku pdp evil."
2023-01-28 09:38:49+00:00,lol imagine thinking that bat and atiku can't get access to as much new notes as they want https://t.co/ANXMZLjttG
2023-01-28 09:38:28+00:00,"@dondekojo 1.  PO won’t get 1Million votes
2. Atiku will get 40% of Oyo votes
Already sealed bet.
1. Atiku will win Kaduna. I opposed"
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
