Date,Raw tweet
2023-01-28 09:59:41+00:00,Victus NOX 2 (-3) BBCOR Baseball Bat message to order MRSP $399.99                                       Authorized Rep for Headbanger Sports https://t.co/0pqXkocrXS https://t.co/aLzU8gyaoW
2023-01-28 09:59:39+00:00,"Tobacco Stocks: Week 4
""PMI's gain is the others' loss""

TI Index -0.4%
$spx S&amp;P500 +2.5% (rally driven by the ""fallen angels"")

PMI $pm +1.9% (best performer)
Altria $mo -1.8%
BAT $bti -3.2% $bats -2.7% (LSE)

JT +1.0% (TSE); Imperial $imb -2.1% (LSE)

Worst performer  $kavl -9% https://t.co/hliBle032q"
2023-01-28 09:59:38+00:00,"""draculaura is a lot of the same"" and its always been that way dude like idk what to tell you🤧reoccurring motifs are kind of the modus operandi for monster high. its not a draculaura doll without a bat hem"
2023-01-28 09:59:31+00:00,@WhaleChart more.
2023-01-28 09:59:21+00:00,"@jaxmuneer I prefer this one. Issue-based. He didn't equivocally state that people should vote for Waziri because of religion, but because of the expose of Naja'atu on BAT!"
2023-01-28 09:59:19+00:00,@cryptojack depends on which coin and how much you hold.
2023-01-28 09:59:13+00:00,"@sole0907 @itzz_blitz1 Oh, u re tribeless? 
Well, go tweet abt BAT. 
Supporting a criminal for the highest office and still attacking PO? 

Let's talk abt Tinubu's drug dealings.. ☺️🙃"
2023-01-28 09:59:04+00:00,@unmasking_media We live in a media and political controlled environment. Do as much as is humanly possible to push back. Pretty sure if they were flying Saudi flags no one would bat an eye even though there attacks on Yemen have killed thousands. US are still bombing Syria nothing media silent.
2023-01-28 09:59:04+00:00,"""Ruskiy Mir"" is a philosophy of failure, the greed of ignorance and the gospel of envy, its inherent virtue is the equal sharing of misery.... 

Ukraine doesn't  want to be a part of it ...
🇺🇦🇺🇦🌻🐝"
2023-01-28 09:59:02+00:00,@cz_binance trading
2023-01-28 09:58:46+00:00,"@Ese34th @SavvyRinu You really rate bat though. The only reason they couldn't have done anything is because he had one or two info about them - dassol.

And about the efcc thing, it's a sham. They investigated NOTHING.

In case you don't know, bat really has no one on his side anymore."
2023-01-28 09:58:30+00:00,no like i swear anyone could walk into lectures and nobody would bat an eye it’s so weird https://t.co/KxURuiMsEf
2023-01-28 09:58:28+00:00,@WilfredQuadros1 Koi badi bat nahi h . SEBI members and chairman are appointed by union ministry only . SEBI will never investigate against adani bcz he is actually helping bjp in every election
2023-01-28 09:58:14+00:00,*Gets baseball bat from Steven* Aww! I'll use it all the time.
2023-01-28 09:58:12+00:00,@AlexCobb_ @TheCryptoLark The situation you're in: https://t.co/6a7eWGmJR5
2023-01-28 09:57:56+00:00,@Bat_and_bougie Super pretty https://t.co/59dQpNReGc
2023-01-28 09:57:51+00:00,@AlexCobb_ @TheCryptoLark you are promoting XRP even though also no one's asking
2023-01-28 09:57:46+00:00,@Saeed_Shinwarai This is not true that Allah talla made Pakistan  bat shaitaan did  which is engrizz.? Allah talla always give a chance to shaitaan  it's time for it to be gone for good because we need a peace and the world  .
2023-01-28 09:57:44+00:00,@raja_rataKolla Have you ever played professional cricket in your life? So donkeys have not touched the bat but good to criticize
2023-01-28 09:57:36+00:00,@AlexCobb_ @TheCryptoLark still no to both LOL
2023-01-28 09:57:33+00:00,@ucheson235 @PO_GrassRootM If I Were you I will continue walking not boarding bike not Tax till BAT EMERGE i. Yeye man.
2023-01-28 09:57:21+00:00,"Babar Retweeted, liked &amp; commented on my post 🥺😭, also we met in person he gave me his bat with his autograph ✍️😭, gave me ticket of all matches of PZ &amp; IU. He is soooo kinddd 😭
I am out of universe.... 😭😭 https://t.co/KXUe9q5zI2"
2023-01-28 09:57:11+00:00,@Ndmyty @Sirfreshsemi Cause only a fool will support bat. Cause it’s obvious he won’t be the one to rule us. At that stage in his health he can’t rule. He should try and go for debate let’s see if he is worth voting for
2023-01-28 09:57:08+00:00,@TheCryptoLark a man of culture
2023-01-28 09:56:57+00:00,"So the v best feature would be 
1. being able to remove a whole thread w 1 click
2. select to delete - like iphone photos"
2023-01-28 09:56:55+00:00,@realXRPwhale give it time
2023-01-28 09:56:52+00:00,@akintola_fas3a I pray my Yoruba brothers get this message and stop shouting BAT upandown
2023-01-28 09:56:47+00:00,@realXRPwhale watch it dump
2023-01-28 09:56:16+00:00,@Letter_to_Jack Only PYO can go head to head with BAT
2023-01-28 09:55:59+00:00,@Bat_and_bougie Beautiful💋💋 https://t.co/ZOknpFXKtb
