Date,Raw tweet
2023-01-28 10:00:41+00:00,"@AdekayodeO @odinaks @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship The workings he is showing, is it not for his own greater good??
The popularity he has gotten from the movement is even a feather to his cap.
How many people knew Sola Kafinta before the ObiDatti movement?
Let his work speak for him, not him making forceful demands and threats"
2023-01-28 10:00:37+00:00,@ObiEverything @OfficialPDPNig @OfficialAPCNg @AAdeleke_01 @PeterObi You're intelligent
2023-01-28 10:00:36+00:00,"@frankie_Wilies @MikailQuadriOl2 @VictorIsrael_ @PeterObi It is always them. Tinubu/APC have used their heads for JuJu. They are in bondage. Everywhere you see these ones who attack PO and support Tinubu, they are usually the public beggars here."
2023-01-28 10:00:33+00:00,@balamiisaac @PeterObi @NgLabour @AishaYesufu God bless you all and God bless @AishaYesufu  she's really strong to go through all this..! May God keep our incoming president Peter Obi healthy to suppress all this hard work he's putting in for a better Nigeria 🙏🏾🙏🏾🙏🏾
2023-01-28 10:00:33+00:00,"May God strengthen @PeterObi  and his team,after contesting ordinary SUG presidential election back then in FUTO,I can vividly tell you that Obi is strength comes from above.He isn't working with ordinary human strength."
2023-01-28 10:00:32+00:00,"@opebanwo @PeterObi There is nothing wrong with BVAS
Tribunal jut got manipulated again and that is to show that our judiciary is no longer a safe haven for the common and the oppressed"
2023-01-28 10:00:32+00:00,"Just tell me why you won't love and vote @peterobi. He didn't make his daughter the iya loja general of Anambra State. He didn't fix her into one juicy position as an ex governor. She followed her passion. Nigerians will realize their dreams under Obi #obidientmovement
@GoziconC https://t.co/U9obcGqRqj"
2023-01-28 10:00:27+00:00,"@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Bro, please calm down. You can't dictate your reward, you can only negotiate it. Everything you have done was done by your own free will for a better Nigeria. Be patient. @NgLabour might even have a better reward for you. Don't let impatient rob you of all your labour."
2023-01-28 10:00:26+00:00,@MaliekBerry04 @mcashwide1 @diplosoft @PeterObi Father Abraham😂
2023-01-28 10:00:20+00:00,@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Human beings and their frailty!!! 🤌🏽🤌🏽🤌🏽
2023-01-28 10:00:14+00:00,"@Gentluman @mcashwide1 @PeterObi Obi should go to Senate make we vote am. Presidency is not for failed 2 term governors that lies like there is no tomorrow.
#PeterObiStepDown4Sowore #PeterObiStepDown4Sowore #PeterObiStepDown4Sowore #PeterObiStepDown4Sowore"
2023-01-28 10:00:05+00:00,"@BenardChinedu1 @solakafinta @firstladyship @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan LP will recognize him but saying you want to anchor the program... Is a NO NO...
So everyone support PO should expect something from him, maybe a minister Post... I laugh...
He can be given a recognition, but stating what he wants is a NO NO"
2023-01-28 10:00:04+00:00,@DearestJessica_ @Frankieuz69 @PeterObi He will come distance 3rd
2023-01-28 09:59:56+00:00,"@FS_Yusuf_ @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship To be honest. The word 'host' means he will welcome Obi to Kwara. It doesnt work like that. There is party Chairman in Kwara and thats his job. But the right thing is that Sola MUST be on stage to address the people too. Dats the least LP Kwara can do, if just to encourage him."
2023-01-28 09:59:52+00:00,@raypaxful @PeterObi Peter obi winning  would  legalise crypto
2023-01-28 09:59:51+00:00,@ajibacrown_seun @lilianngoziblog @Chinedum007 @osagie_obams @PeterObi 😂😂😂 Thank God I live in the state. I was there live.
2023-01-28 09:59:50+00:00,@U_Rochas @atiku The only candidate that needs to step down is @atiku the election is between @PeterObi and @officialABAT so if Atiku meant well for South East &amp; for equity fairness. He should step down for Obi.
2023-01-28 09:59:49+00:00,"@bhee_hi @solakafinta @elnyason @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship No be lie cus honestly don’t know what he is looking for, we all aiming for better Nigeria"
2023-01-28 09:59:23+00:00,@Racybaron @Chinedum007 @PeterObi Do you Know ABU at all???
2023-01-28 09:59:21+00:00,@MrSNoockie @PeterObi Sorry to say buh yur a fool and an enemy to progress
2023-01-28 09:59:16+00:00,"@solakafinta @elnyason @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Oga, go to APC if you wan do am by force... Peter Obi don’t really need us, we need him..."
2023-01-28 09:59:12+00:00,"A townhall Tshirt is now available for sale . Buy here https://t.co/geDOJa8OXQ

#kubwa #PeterObi #TownHall https://t.co/H5fe90XhqD"
2023-01-28 09:59:04+00:00,@PeterObi I've been hearing from sources that Inec staff in Lagos are refusing to give people of Eastern extraction their pvc. I'll go again to check today. My transportation and time is just the annoying part of it.
2023-01-28 09:58:56+00:00,"@sammyalfred7 @PeterObi 😂😂😂😂 peter obi don really suffer for una hand, he say step down for Sowore 😂 😂😂😂😂"
2023-01-28 09:58:37+00:00,@VictorIsrael_ @PeterObi Amen in Jesus mighty name
2023-01-28 09:58:35+00:00,After everything this man still made it to Glory dome yesterday! God abeg do this miracle for us plz https://t.co/RD1dpE4o99
2023-01-28 09:58:28+00:00,"@diplosoft @mcashwide1 @PeterObi Your Candidate should go for Senate, make we vote am. Presidency need someone with executive experience. I am off to work Sir."
2023-01-28 09:58:20+00:00,"@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Truth be told, the MC job should go to him seeing that it's his field and he has been working hard.

I think the problem is that either you didn't work with other or there was no communication between you and the PCC. 
That's why it's good to work together in this movement."
2023-01-28 09:58:17+00:00,@LifetimeAyo @TheBaba_D @bless_ingA @PeterObi They don’t know 😂😂
2023-01-28 09:58:17+00:00,@AnatuGreen @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship @FS_Yusuf_ Nice brotherly you just educate the dude
2023-01-28 09:58:00+00:00,@PeterObi God bless peter obi
2023-01-28 09:57:56+00:00,"@firstladyship @atiku cannot win. Don’t waste your vote on @officialABAT. Vote for @PeterObi. He did not steal one Naira. He built schools, hospitals &amp; d best rural roads. He prioritized education &amp; did not owe a single contractor nor workers, etc. Go and Verify. Obi d best man for d job. https://t.co/AYTdBNgg4e"
2023-01-28 09:57:53+00:00,If Nigeria wins the black race all over the world has won. If @PeterObi wins Nigeria has won logically the black race globally. It is POssible. Don't blink Vote @PeterObi Vote @NgLabour #EndSARS @AishaYesufu @NgLabour @wizkidayo @inecnigeria @channelstv @ARISEtv
2023-01-28 09:57:39+00:00,"@PeterObi Ethnicity doesn't matter here
Watch and spread
https://t.co/CKIWPgx7Zv"
2023-01-28 09:57:36+00:00,"@Unjoerated @JUWONREIS @PeterObi @YeleSowore Exactly fools like you make class struggle a thing..lmfao what class is obi in and sowore isn't? Association of thieves yeah sowore isn't in all that.. the dung coming from an adults mind,class! You're nauseating bro."
2023-01-28 09:57:30+00:00,"@Archimeokey @PeterObi Ur Asiwaju and ur apc people did this too us and u still get mouth dey talk about dem, guy respect ur self oh https://t.co/lqb9YXs6GV"
2023-01-28 09:57:28+00:00,@sammyalfred7 @PeterObi Which Sowore? The one that could not account for the donations made to him in the previous election. What is the difference between him and that 'Crowee' Adamu?
2023-01-28 09:57:26+00:00,@shambu24 @PeterObi Thank you I'm on my way coming
2023-01-28 09:57:26+00:00,@honexcess @PeterObi My condolences 💐
2023-01-28 09:57:24+00:00,"@SebHarry535 @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Which greedy support group... If you are doing anything for PO and LP and expect something in return, sorry to say you aren't ready for a change.
Here in Lagos we contribute with our money...
I repeat don't expect anything from LP...
Do your work for a better Nigeria"
2023-01-28 09:57:20+00:00,@PeterObi Be the change
2023-01-28 09:57:19+00:00,@PeterObi This is the time to salvage Nigeria and wet cannot afford to miss it
2023-01-28 09:57:07+00:00,"@CDDWestAfrica @CDDWarRoom @CDDFactCheck @PeterObi @adamugarba is an undisguised supporter and sympathizer of terrorists. @adamugarba supports the kidnapping, raping and killing of citizens by Fulani militia, aka Bandits. And now he had added religious hatred incitement to his nefarious activities. The @SSS and the @PoliceNG must https://t.co/ldKPTQf9fA"
2023-01-28 09:57:06+00:00,"@FS_Yusuf_ @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Unserious people and party. Look at what you are arguing about? If this movement is about Nigeria snd Nigerians, u don’t need to care if you are on the stage of not. But everyone sha want to be known through this movement sha by all means."
2023-01-28 09:57:00+00:00,"@TheBaba_D @PeterObi Another said,he knows PO may be good but he can't vote 4 him coz he is yoruba n cant betray his tribe.
So now we can drink poison,coz its served with our tribal cup. If it was by tribe,it means many of us wont vote in this election."
2023-01-28 09:56:53+00:00,@treasurealbanMD @Almulty24 @TheBaba_D @PeterObi I wonder
2023-01-28 09:56:44+00:00,@Cryptoaristocr4 @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship He’s asking for toooooo much man! They already said he will work with the team in Kwara then why must he insist on anchoring the event . He’s not a member of Labour Party and they already have their programs for their campaigns. He should sit this one down! He can’t get to anchor
2023-01-28 09:56:37+00:00,@FS_Yusuf_ @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Sola deserve the best
2023-01-28 09:56:33+00:00,"@itzz_blitz1 A man after my own PVC.....
A man for my PVC....
A man that has my PVC.....
A man that I for one will vote.... @PeterObi"
2023-01-28 09:56:24+00:00,@lilianngoziblog @Chinedum007 @osagie_obams @PeterObi This happened in Kano https://t.co/le3qBskd2T
2023-01-28 09:56:18+00:00,@solakafinta  I want you to understand that this sense of entitlement you are displaying on social media does not make any sense. You are not the only person working for @PeterObi . If all of us come out to start demanding one thing or the other will it make sense? Grow up bro
2023-01-28 09:55:48+00:00,@Chigozie_Mmebo @iamstvewilliams @PeterObi @NgLabour Exactly...obi all the way.
2023-01-28 09:55:44+00:00,"@yousuf2580 @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship U are coming out small small🤣🤣🤣🤣 u are letting us know ur stand, am done responding to u, nice weekend"
2023-01-28 09:55:41+00:00,"@Nero365 @mindset_tweet That Lebanese guy is not your friend, @PeterObi  should up his game in that regard, Just connect the dots, online and onsight they want to rigg, I won't say anything more than that"
2023-01-28 09:55:40+00:00,"It’s  indeed a great privilege to be recognized by @GRVlagos for a creative intelligence  application where an individual can express one’s political stand even while slaying beautifully.Special thanks @PrincessOyefus1 for this great opportunity.I am grateful 🙇‍♀️
@PeterObi_Radio🙇‍♀️ https://t.co/XdOxrxrI9J"
2023-01-28 09:55:40+00:00,"One Ave for Peter Obi to become Nigeria's next president come next month.
Ave Maria, gratia plena dominum tecum benedicta tui....
Dear Lord, please say yes to this prayer of ours. Amen. https://t.co/mu7AgQlQjT"
2023-01-28 09:55:38+00:00,"@atiku If @atiku and @officialABAT have good intentions for Nigeria and Nigerians, they should vote @PeterObi for President."
2023-01-28 09:55:33+00:00,"are matching with that of BVAS. Nothing is too hard for APC government to do. All INEC staffs are suspect they can disenfranchise us by deliberately uttering form EC8A, in this way our strong hold will be canceled. Kanu, @PeterObi #ObidientMovement"
2023-01-28 09:55:29+00:00,"@MrSNoockie @PeterObi ..road, MDG etc. What can we say of those that taxed their people 2 dead n still uses proxies 2 tax their people, as if that is not enough, they still pushes white substance n others uses SPV. Tell us that candidate u r supporting, u feel is d best, b4 we can take u serious."
2023-01-28 09:55:28+00:00,Go get your PVC &amp; vote PETER OBI OF LABOR PARTY FOR PRESIDENT 2023 @PeterObi A NEW NIGERIA IS PO-SSIBLE
2023-01-28 09:55:27+00:00,@MaliekBerry04 @Gentluman @mcashwide1 @PeterObi They are mad people
2023-01-28 09:55:20+00:00,"@honexcess @PeterObi Please accept my deepest condolences.
His fight will not go in vain. Keep the lamp burning for we will all rejoice...
God strengthen and keep you and all your family members at a time like this in Jesús name, amen."
2023-01-28 09:55:14+00:00,"Nigerians remain hopeful for a national rebirth which implies returning Nigeria to Nigerians; farmers, teachers and students, lecturers, artisans, workers, pensioners and over a hundred million poor Nigerians who are not sure where their next meal will come from.

#PeterObi 🇳🇬 https://t.co/dbxbRUYVAb"
2023-01-28 09:55:12+00:00,@PeterObi We Pray for God's direct intervention an i believe God is repositioning Nigeria for greater glory as the glory of the later days will be greater than the former. Congratulations our amiable President PO. May God grant our request in Jesus name. We Love You.
2023-01-28 09:55:10+00:00,Why reasons why you must vote for @PeterObi https://t.co/KWvmQK6wna
2023-01-28 09:55:02+00:00,"@Ada_di_ora_mma I always laugh Nigerians well because they don't know @PeterObi well. His 8 months as President, the politicians will stage huge protest and attacks on him."
2023-01-28 09:54:59+00:00,"This hausa @PeterObi song dey burst mah brain😂😂.
Abuja Northerners dey cook.."
2023-01-28 09:54:55+00:00,"@TheLotanna Tell them again jare... Wicked structure they set up to keep the country on its knee, impoverished and backward. Thank God for our incoming president @PeterObi , the wicked structure is in shreds already."
2023-01-28 09:54:55+00:00,@YahyaYahz @AnkaDede @KnightSirdamBP @PeterObiUSA @amoah_citizen @PeterObi @Certified_9jatv @joe_asake Congratulations
2023-01-28 09:54:48+00:00,@DancelordTR @wizzyhard @PeterObi I wish you know who PO is deep down
2023-01-28 09:54:47+00:00,@Chinedum007 @arranowanna @PeterObi @Jack_ng01 Home of Dating? 😁
2023-01-28 09:54:35+00:00,"@Gentluman @mcashwide1 @PeterObi The same way people like obi an ordinary trader got a swollen head to run for governor and now running for presidency bah. I don't know you are only useful for one thing in your life.
 #PeterObiStepDown4Sowore #PeterObiStepDown4Sowore #PeterObiStepDown4Sowore"
2023-01-28 09:54:34+00:00,"@Gentluman @mcashwide1 @diplosoft @PeterObi Una youths self big impact in Nigeria problem, not only the Politicians.

Oloriburuku ni gbogboyin."
2023-01-28 09:54:26+00:00,"@PeterObi Then on security, give amnesty to agitators, BH and militants to repent and be rehabilitated. (Bandits are just common thieves and so must be treated as such)"
2023-01-28 09:54:22+00:00,Victory is sure https://t.co/6MmKLdIubS
2023-01-28 09:54:21+00:00,@honexcess @PeterObi My most sincere condolences 🤍
2023-01-28 09:54:18+00:00,@solakafinta @elnyason @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Risking your life for sensitization in illorin is a personal choice likewise we do in FCT.
2023-01-28 09:54:12+00:00,@Okutaiyebiye @TheOfficialPOMA @PeterObi You have been left behind just bcos of corn.
2023-01-28 09:54:06+00:00,@PeterObi David is chosen leader 👏🏾🙏🏾
2023-01-28 09:54:05+00:00,"@MrSNoockie @PeterObi If increasing IGR is all that it takes to know a good leader, then we are very grateful to PO for not taxing Anambrians to death just to increase IGR. He is really such a compassionate leader that focused on the little in his disposal and still was rated the best in education.."
2023-01-28 09:53:57+00:00,"@firstladyship @atiku cannot win. Don’t waste your vote on @officialABAT. Vote for @PeterObi. He did not steal one Naira. He built schools, hospitals &amp; d best rural roads. He prioritized education &amp; did not owe a single contractor nor workers, etc. Go and Verify. Obi is the best man for d job"
2023-01-28 09:53:54+00:00,"@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Na u wan drag am out of hand? Sounds lik a threat? Ur motive is suspect.. If PO wan acknowledged every1 wey dey run ds parole, he'll tear himself apart. Give him a break pls"
2023-01-28 09:53:52+00:00,"@PeterObi We believe in you,  Peter Obi"
2023-01-28 09:53:52+00:00,@bossajadi @Olaadewale2324 @PeterObi @YeleSowore With proof???
2023-01-28 09:53:50+00:00,"@CChukwuagoziem @festofhisname @Polsaph @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Omo, make una stop all this abeg..
This is all voluntary and no one should be demanding anything!!!
If everyone demands something for their support, do you think we will get anywhere?
This level of entitlement is all shades of wrong abeg"
2023-01-28 09:53:40+00:00,@PeterObi Inec staff at Anglican primary School Ijaniki Ojo local government don't want to release my pvc. I've been there and same story they're saying that the pvc is not available. Yesterday I went there and didn't see any of their staff.
2023-01-28 09:53:39+00:00,"@idiom_man @solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Really? If this is true, I’m disappointed!"
2023-01-28 09:53:38+00:00,@SavvyRinu @inecnigeria It coming late
2023-01-28 09:53:34+00:00,@honexcess @YarKafanchan @PeterObi May his soul Rest In Peace
2023-01-28 09:53:33+00:00,"@honexcess @PeterObi Accept my condolences
May his soul rest in peace amen 🙏"
2023-01-28 09:53:21+00:00,@MrSNoockie @PeterObi Do you know what they mean by IGR ?
2023-01-28 09:53:21+00:00,@villageboy01 @OfiabuluOsita @opebanwo @PeterObi yes that's true
2023-01-28 09:53:17+00:00,@solakafinta @PeterObi @NgLabour @AishaYesufu @UtomiPat @OselokaHObaze @dattibabaahmed @ChigozieIAlex @Jack_ng01 @JackObinyan @firstladyship Do beyond the right thing. Obi can never get 10% of kwara state vote. Take that to the bank. Its a lose lose thing
2023-01-28 09:53:16+00:00,"@itssonjosh @PeterObi @omoelerinjare @DocOmeiza @Odogwu_Nomso @Nkemchor_ @PO_GrassRootM @chude__ @JosephOnuorah @_weyimi @Spotlight_Abby Don't mind PDAPC clowns that will never Leave Peter Obi alone.
We all love Peter Obi ❤️ 
PDAPC will never talk without Mentioning Peter Obi. Ndi Ara!"
