Date,Raw tweet
2023-01-28 10:17:11+00:00,@AdamuAtikuA Yeriman Villa I wish you all the best. AtikuOkowa is our choice in Sha Allah
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
2023-01-28 08:21:25+00:00,"#AtikuOrganizingForAction

It has been 8 years of intense suffering, at the hands of a careless government. Vote PDP as the safe choice to recover our country.

#presidency #AtikuOkowa #PDP https://t.co/cR65qMozIQ"
2023-01-28 07:59:31+00:00,"The incoming President and his first lady.
Vote AtikuOkowa 2023
#AtikuOrganizingForAction https://t.co/Eus5r0tswS"
2023-01-28 07:47:19+00:00,"The RECOVERY TEAM is set to hit the Land of Equity. 

ATIKU/OKOWA IN KEBBI STATE,  TODAY, SATURDAY, 28TH JAN, 2023.

VOTE AtikuOkowa
VOTE PDP 

#AtikuOrganizingForAction https://t.co/xOG0bfUdfU"
2023-01-28 11:04:02+00:00,@Topboychriss What exactly does Atiku offer any of the PDP Governors?
2023-01-28 11:03:59+00:00,@OfficialPDPNig @atiku He wants to buy vote...CBN gave this deadline since last year and we continue to wait till the last day
2023-01-28 11:03:58+00:00,"The Land of Equity ""Kebbi state welcomes His HE Alhaji Atiku Abubakar and his Team of PDP Stalwarts to Bernin Kebbi, Kebbi State for the Presidential Campaign Rally...
#AtikuForAll
#RecoverNigeria https://t.co/DvCOymo2oI"
2023-01-28 11:03:52+00:00,"Lol @atiku Dey play ….. baba go drop your money for bank today. All the funds way Dey inside your houses 😂 
No extension sir!!! https://t.co/bIrqSzMF9c"
2023-01-28 11:03:50+00:00,"@U_Rochas @atiku When you die, vultures will reject your corpse
The earth will also reject you."
2023-01-28 11:03:49+00:00,"@OfficialPDPNig @atiku It must not be extended,cry more..okowa has borrowed 150b on behalf of atiku to sponsor the campaign thereby impoverishing the state more but trust me,that money will not be cashed"
2023-01-28 11:03:39+00:00,"The position of our incoming president, Alh. Atiku Abubakar on the Naira redesigning, identifying with how a hurried implementation affects the ordinary citizen, especially the rural dwellers and calling for an extension.

Never abt his own ambition unlike others #RecoverNigeria https://t.co/mqFtxxoay9"
2023-01-28 11:03:38+00:00,"Get your CLEAN 10th generation Dell 7300 super powered laptop 💻. With 11hrs of battery🔋 life. Eye &amp; Finger scanner, AI (smart) keyboard ⌨️ light, privacy camera with flash 📸

Google to learn more 

VERY AFFORDABLE !

Rufai Wike Atiku Tinubu ATM Emefiele Davido Burna Mba Naira https://t.co/0amp46kMyR"
2023-01-28 11:03:36+00:00,"@NAftermath @dykamadi @atiku There's no guarantee dat OBi will get ticket in 2027 wit Atiku in the mix. 
Remember PDP was supposed to microzone to SE after 24 years of neglect despite giving PDP block votes? 
But Atiku hijacked it &amp; blamed Wike for same. 
In 2027 Atiku will be seeking 2nd tenure at what age?"
2023-01-28 11:03:34+00:00,"@U_Rochas @atiku Are you obsessed with Your Obi or what? 

🤣🤣🤣"
2023-01-28 10:37:19+00:00,"@IAOkowa Even the heavens have ordained the #AtikuOkowa victory.

We will #RecoverNigeria by the special grace of God."
2023-01-28 10:34:00+00:00,@thecableng @officialABAT @OfficialAPCNg This is the second time he is castigating Buhari in public. Each time he runs to Aso Rock with his cohort to beg for leniency. Tinubu is too desperate to rule but I know he can't get there. Vote AtikuOkowa
2023-01-28 10:23:58+00:00,"@IAOkowa There is no issue in life that is impossible with God. The arrival of God is the arrival of possibilities. With God, Nigeria shall arise and  be great again! May the Lord give us access to peaceful and transparent election!
#AtikuOkowa
#OkowaIsWorking"
2023-01-28 10:17:11+00:00,@AdamuAtikuA Yeriman Villa I wish you all the best. AtikuOkowa is our choice in Sha Allah
2023-01-28 09:26:55+00:00,"The Land of Equity, today will host the Recovery Plan Team. ATIKU/OKOWA IN KEBBI  - SATURDAY, 28TH JANUARY, 2023.

#RESETNigeria
#AtikuOkowa https://t.co/PY1spuj4Sg"
2023-01-28 09:17:41+00:00,"Kebbi up next for the PDP Presidential Campaign Rally today.

Only #AtikuOkowa can win https://t.co/ItzkfgTust"
2023-01-28 08:51:33+00:00,"#AtikuOkowa2023 
The PDP AtikuOkowa @OfficialPDPNig Presidential Campaign Rally Train lands in Kebbi ...
The #RecoveryTeam is set to hit the Land of Equity. 

@atiku snd @IAOkowa in Kebbi State, today, Saturday, 28th Jan., 2023.

#Okowalition @PDP_NEWMEDIA https://t.co/9K59F20loj"
2023-01-28 08:21:25+00:00,"#AtikuOrganizingForAction

It has been 8 years of intense suffering, at the hands of a careless government. Vote PDP as the safe choice to recover our country.

#presidency #AtikuOkowa #PDP https://t.co/cR65qMozIQ"
2023-01-28 07:59:31+00:00,"The incoming President and his first lady.
Vote AtikuOkowa 2023
#AtikuOrganizingForAction https://t.co/Eus5r0tswS"
2023-01-28 07:47:19+00:00,"The RECOVERY TEAM is set to hit the Land of Equity. 

ATIKU/OKOWA IN KEBBI STATE,  TODAY, SATURDAY, 28TH JAN, 2023.

VOTE AtikuOkowa
VOTE PDP 

#AtikuOrganizingForAction https://t.co/xOG0bfUdfU"
2023-01-28 11:10:25+00:00,@mahbeel_A @atiku boro2rhyme AA has my vote
2023-01-28 11:10:24+00:00,@_Khadejah_atiku Where are you from???
2023-01-28 11:10:20+00:00,"@ShehuSani We will get over it soon  after the election,is just to avoid bullion vans of emilokan Dubai man atiku who used to buy vote. We're taking our country back through Peter Obi now."
2023-01-28 11:10:16+00:00,@Rabe_jr_ @Kay_kay4u @atiku Lol you wish he was really a thief sorry oo
2023-01-28 11:10:09+00:00,📌 31.01.2023 old Naira deadline is giving Atiku and Tinubu’s supporters a serious migraine.
2023-01-28 11:10:01+00:00,"@U_Rochas @atiku In saner climes, you should be too ashamed to even come to public sphere to vomit rubbish against somebody like Obi after all we know about your activities as Enugu state governor. Some people have no shame."
2023-01-28 11:09:57+00:00,@_Khadejah_atiku Will you marry me?
2023-01-28 11:09:54+00:00,@U_Rochas Atiku that betrayed and scattered pdp is a unifier. With God Atiku no go ever smell aso rock till him tire to run.
2023-01-28 11:09:40+00:00,"@Sirfreshsemi I have one Obidient friend with no jobs and frequent request for help. She is very toxic and I am hoping she would block me. Nonsense and ingredients. My wife support Atiku and I support BAT,I guess I shd cancel her. Stupid teens. Shior."
2023-01-28 11:09:34+00:00,"Only thieves will vote Atiku. Professional thieves &amp; closet thieves. There's absolutely nothing inspiring about Atiku. Except you're a criminal.

Only stupid &amp; wicked mad people will vote Tinubu."
2023-01-28 10:37:19+00:00,"@IAOkowa Even the heavens have ordained the #AtikuOkowa victory.

We will #RecoverNigeria by the special grace of God."
2023-01-28 10:34:00+00:00,@thecableng @officialABAT @OfficialAPCNg This is the second time he is castigating Buhari in public. Each time he runs to Aso Rock with his cohort to beg for leniency. Tinubu is too desperate to rule but I know he can't get there. Vote AtikuOkowa
2023-01-28 10:23:58+00:00,"@IAOkowa There is no issue in life that is impossible with God. The arrival of God is the arrival of possibilities. With God, Nigeria shall arise and  be great again! May the Lord give us access to peaceful and transparent election!
#AtikuOkowa
#OkowaIsWorking"
